Company,"Bloomberg 
Ticker","Reuters
Ticker","Yahoo 
Ticker",Country,Industry,URL
Potash Corp of Saskatchewan,POT:CN,POT.N,POT,Canada,Chemicals,
Uralkali PJSC,URKA:RM,URKA.MM,URKA.L,Russia,Chemicals,
Mosaic Co,MOS:US,MOS.N,MOS,US,Chemicals,
Belarissa FI Multimercado,BLRISSA:BZ,,,Belarussia,Chemicals,
Israel Chemicals Ltd,ICL:IT,ICL.N,ICL,Israel,Chemicals,
K+S AG,SDF:GR,SDFGn.DE,,Germany,Chemicals,
Sociedad Quimica y Minera de Chile SA,SQM/A:CI,SQM.N,,Chile,Chemicals,
PSP Swiss Property,PSPN.S,PSPSY.PK,,Switzerland,Real Estate,http://www.psp.info/en/News-Media/News-Media/Press-releases
Swiss Prime Site,SPSN:VX,SWPRF.PK,,Switzerland,Real Estate,http://www.swiss-prime-site.ch/en/service/media
Intershop Holding,ISN:SW,ISN.S,,Switzerland,Real Estate,
Fastighets AB Balder,BALDB:SS,BALDb.ST,,Sweden,Real Estate,http://www.balder.se/frontsida/about-balder/investor-relations/press-releases.aspx
Hufvudstaden,HUFVC:SS,HUFAF.PK,,Sweden,Real Estate,http://www.hufvudstaden.se/en/Media/Pressreleases
Citycon Oyj,CTY1S:FH,CTY1S.HE,,Finland,Real Estate,http://www.citycon.com/content/releases
Platzer Fastigheter Holding,PLAZB:SS,HEMF.ST,,Sweden,Real Estate,http://investors.platzer.se/en/pressreleases
BR Malls Participacoes,BRML3:BZ,BRML3.SA,,Brazil,Real Estate,http://ir.brmalls.com.br/conteudo_en.asp?idioma=1&conta=44&tipo=51047&id=0&submenu=0&img=0&ano=2015
Aliansce Shopping Centers,ALSC3:BZ,ALSC3.SA,,Brazil,Real Estate,
Sonae Sierra Brasil,SSBR3:BZ,SORRF.PK,,Brazil,Real Estate,http://www.sonaesierra.com/en-gb/pressroom/news.aspx
Iguatemi Empresa de Shopping Centers,IGTA3:BZ,IGTA3.SA,,Brazil,Real Estate,
Multiplan,,,,Brazil,Real Estate,http://www.multiplan.com.br/main.jsp?lumChannelId=499497CB220B572B01223DF002230A59
Riocan REIT,REI-U:CN,REI_U.TO,,Canada,Real Estate,http://investor.riocan.com
Choice Properties REIT,CHP-U:CN,CHP_U.TO,,Canada,Real Estate,http://www.choicereit.ca/news-and-events/news-releases/default.aspx
Calloway REIT,CWT-U:CN,CWT_U.TO,,Canada,Real Estate,http://www.callowayreit.com/News
CT REIT,CRT-U:CN,CRT_U.TO,,Canada,Real Estate,http://ctreit.com/en/media-centre/news-releases
Crombie REIT,CRR-U:CN,CRR_U.TO,,Canada,Real Estate,http://www.snl.com/irweblinkx/news.aspx?iid=4143678
Plaza Retail REIT,PLZ-U:CN,PLZ_U.TO,PLZ-UN.TO,Canada,Real Estate,http://www.plaza.ca/ir-newsreleases.php
First Capital Realty Inc,FCR:CN,FCR.TO,FCR.TO,Canada,Real Estate,http://www.firstcapitalrealty.ca/Pressroom.aspx
REIT News,,,,Canada,Real Estate,http://reitnews.commercialcanada.ca
PR newswire,,,,Canada,Real Estate,http://www.prnewswire.com/news-releases/financial-services-latest-news/real-estate-list
